#TYPE Selected.System.IO.FileInfo
"FullName","CreationTime","LastWriteTime","Length","Owner"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Diana.en_US.wad.client","9/24/2019 7:46:23 PM","12/13/2021 6:16:54 PM","1704918","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Diana.wad.client","9/24/2019 7:46:23 PM","2/16/2022 6:28:15 PM","53601015","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Draven.en_US.wad.client","9/24/2019 7:46:25 PM","12/13/2021 6:16:54 PM","10024844","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Draven.wad.client","9/24/2019 7:46:26 PM","2/16/2022 6:28:15 PM","42201787","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\DrMundo.en_US.wad.client","9/24/2019 7:46:24 PM","1/5/2022 7:02:12 PM","11124000","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\DrMundo.wad.client","9/24/2019 7:46:24 PM","2/16/2022 6:28:15 PM","54319235","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Ekko.en_US.wad.client","9/24/2019 7:46:27 PM","1/5/2022 7:02:12 PM","9584380","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Ekko.wad.client","9/24/2019 7:46:28 PM","2/16/2022 6:28:17 PM","69825185","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Elise.en_US.wad.client","9/24/2019 7:46:31 PM","12/13/2021 6:16:55 PM","2201196","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Elise.wad.client","9/24/2019 7:46:31 PM","2/16/2022 6:28:17 PM","47320728","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Evelynn.en_US.wad.client","9/24/2019 7:46:32 PM","12/13/2021 6:16:55 PM","38052621","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Evelynn.wad.client","9/24/2019 7:46:34 PM","2/16/2022 6:28:17 PM","65899571","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Ezreal.en_US.wad.client","9/24/2019 7:46:36 PM","1/31/2022 7:36:20 PM","31523854","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Ezreal.wad.client","9/24/2019 7:46:38 PM","2/16/2022 6:28:17 PM","56596558","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\FiddleSticks.en_US.wad.client","9/24/2019 7:46:41 PM","2/16/2022 6:28:17 PM","11961871","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\FiddleSticks.wad.client","9/24/2019 7:46:41 PM","2/16/2022 6:28:17 PM","49621667","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Fiora.en_US.wad.client","9/24/2019 7:46:43 PM","1/5/2022 7:02:12 PM","2231761","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Fiora.wad.client","9/24/2019 7:46:43 PM","2/16/2022 6:28:17 PM","58214858","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Fizz.en_US.wad.client","9/24/2019 7:46:45 PM","12/13/2021 6:16:55 PM","2617456","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Fizz.wad.client","9/24/2019 7:46:46 PM","2/16/2022 6:28:17 PM","39506397","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Galio.en_US.wad.client","9/24/2019 7:46:48 PM","12/13/2021 6:16:56 PM","12132689","BUILTIN\Administrators"
